filename,SampleType,SubjectID,SampleID
ID_LETPJN.mgb,Stool,Subject_BCUNIB,Sample_AFTIWE
ID_NTDGIW.mgb,Stool,Subject_UDAXIH,Sample_JQJVNK
ID_ZISBMF.mgb,Nasal,Subject_VRKADI,Sample_YJWGWW
ID_MDCVXU.mgb,Nasal,Subject_HIFZWD,Sample_VKEHZP
ID_SWAMNY.mgb,Stool,Subject_VGLNCV,Sample_NTDTEQ
ID_QRIANS.mgb,Stool,Subject_CBVHYJ,Sample_MBZSNE
ID_KSEFAE.mgb,Nasal,Subject_UDAXIH,Sample_UZKJRT
ID_XHAOGA.mgb,Stool,Subject_UDAXIH,Sample_YDYNHF
ID_SRAOCX.mgb,Nasal,Subject_ASRHSH,Sample_JKXLXK
ID_BJCMPA.mgb,Nasal,Subject_FXORWN,Sample_WDPPXS
ID_FLDAYX.mgb,Nasal,Subject_FXORWN,Sample_VSLKCL
ID_QLPKWM.mgb,Stool,Subject_HBHSCC,Sample_AUPXDK
ID_SRQSVA.mgb,Nasal,Subject_PZNGDD,Sample_GXFNBY
ID_GIKQEK.mgb,Nasal,Subject_UDAXIH,Sample_CWJHIK
ID_QQKHWF.mgb,Stool,Subject_MMTOQI,Sample_TIZJKK
ID_HDWWRU.mgb,Nasal,Subject_NHOSIZ,Sample_IEKLUO
ID_OVLPPT.mgb,Stool,Subject_ASRHSH,Sample_CLRQCL
ID_WOVCNX.mgb,Stool,Subject_CHDMIO,Sample_EYWXRI
ID_CYCFNA.mgb,Stool,Subject_UDAXIH,Sample_ALJYMN
ID_UGBGST.mgb,Nasal,Subject_HBHSCC,Sample_EMPMPF
ID_GPQZKC.mgb,Nasal,Subject_BCUNIB,Sample_HPHINP
ID_UPFKOH.mgb,Nasal,Subject_UDAXIH,Sample_JNAAJK
ID_ABOEMW.mgb,Stool,Subject_XEHFZZ,Sample_KZRRAY
ID_VVAHJX.mgb,Stool,Subject_MMTOQI,Sample_YDHUUO
ID_BIGCDY.mgb,Nasal,Subject_FXORWN,Sample_MZHXVL
ID_BGZYQJ.mgb,Stool,Subject_CHDMIO,Sample_PGFAZH
ID_JSEXIX.mgb,Stool,Subject_ICGSWK,Sample_NOTSHK
ID_NRPGTG.mgb,Nasal,Subject_EIEHXR,Sample_PVTIZC
ID_UGHIJY.mgb,Stool,Subject_ASRHSH,Sample_KVSPHW
ID_HQIIEQ.mgb,Stool,Subject_VRKADI,Sample_DOCPGD
ID_FBSEEL.mgb,Stool,Subject_STBTCN,Sample_CLOYEO
ID_RXPINY.mgb,Nasal,Subject_MVULOQ,Sample_OIVBTU
ID_NCNYEI.mgb,Stool,Subject_RHVKYY,Sample_SHDMAR
ID_YMWRIQ.mgb,Nasal,Subject_VGLNCV,Sample_EAPLJW
ID_GHJOKH.mgb,Stool,Subject_FXORWN,Sample_DIFSRZ
ID_FTXYTT.mgb,Nasal,Subject_UDAXIH,Sample_IOEJEN
ID_KSFAVS.mgb,Nasal,Subject_BCUNIB,Sample_LRWBTH
ID_FQMMSZ.mgb,Nasal,Subject_FSIBDT,Sample_MYBVUE
ID_WKXFTG.mgb,Stool,Subject_MVULOQ,Sample_JOFVCF
ID_BMESXF.mgb,Stool,Subject_CHDMIO,Sample_YZLEIX
ID_RXVIBV.mgb,Nasal,Subject_HIFZWD,Sample_TSFTLS
ID_SKGSUZ.mgb,Stool,Subject_XXIQYF,Sample_ZJXMAC
ID_HKBOLI.mgb,Stool,Subject_PZNGDD,Sample_FUKXBR
ID_LTENAX.mgb,Nasal,Subject_VRKADI,Sample_GKEJCA
ID_BSPPPF.mgb,Stool,Subject_HIFZWD,Sample_CZZWUE
ID_CUGOSP.mgb,Nasal,Subject_PADLZJ,Sample_JRPNFH
ID_DQSUYJ.mgb,Stool,Subject_UDAXIH,Sample_MWHJVS
ID_JWPTNY.mgb,Stool,Subject_MBPHGO,Sample_LPRQLN
ID_PIRGFA.mgb,Stool,Subject_FXORWN,Sample_IGFJIW
ID_FDDPOD.mgb,Nasal,Subject_ASRHSH,Sample_HNYWEL
ID_MVNYGM.mgb,Stool,Subject_UDAXIH,Sample_IOOXEU
ID_DQKZXE.mgb,Stool,Subject_EIEHXR,Sample_WFGGXP
ID_PNLAJV.mgb,Stool,Subject_MVULOQ,Sample_ZYQOBC
ID_LXIPQE.mgb,Stool,Subject_FNAFXK,Sample_EXWRIB
ID_QCUOYT.mgb,Nasal,Subject_BHBZKM,Sample_CSAHNX
ID_LFJBTH.mgb,Stool,Subject_BCUNIB,Sample_HOFVPD
ID_FIJEGA.mgb,Stool,Subject_FNAFXK,Sample_UAFCIY
ID_JESTMG.mgb,Stool,Subject_FNAFXK,Sample_FGDAMP
ID_EVBJJD.mgb,Nasal,Subject_VNLNNO,Sample_LNXMNS
ID_FURIVI.mgb,Nasal,Subject_RIXSNS,Sample_UNMNPM
